PM6	15 years old group
PM8416	severe hypotonia
PM8421	severe idiopathic uveitis
PM8422	severe immunodeficiency
PM8423	severe infertility
PM8425	severe insulin resistance
PM8426	severe insulin resistance and hyperinsulinemia
PM8427	severe intellectual disability
PM8428	severe intractable diarrhea
PM8429	severe intrauterine growth restriction
PM8430	severe intrauterine growth retardation
PM8431	severe iron deficiency anaemia
PM8432	severe iugr
PM8433	severe joint malformations
PM8434	severe joint tissue remodeling
PM8435	severe kidney dysfunction anemia
PM8437	severe kyphoscoliosis and short stature
PM8438	severe language impairment
PM8441	severe lineage defect
PM8443	severe liver disease
PM8445	severe locomotor defect
PM8449	severe lung disease
PM8450	severe lung diseases
PM8451	severe lung hypoplasia
PM8454	severe lupus like autoimmune disease
PM8455	severe malaria
PM8456	severe malarial anaemia
PM8457	severe malarial disease
PM8458	severe male tail defect
PM8461	severe maternal physical or mental health disease
PM8464	severe mental retardation
PM8465	severe mental retardation and mild alpha thalassemia
PM8467	severe metabolic acidosis
PM8468	severe migraine
PM8469	severe migraine attacks
PM8470	severe mitochondrial disease phenotypes
PM8474	severe motor and intellectual disability
PM8475	severe muscle atrophy
PM8476	severe muscle atrophy and weakness
PM8477	severe muscle defect
PM8478	severe muscle fusion defects
PM8479	severe muscle wasting
PM8480	severe muscle weakness
PM8481	severe muscular dystrophy
PM8482	severe myopathy
PM8483	severe myopia
PM8486	severe neonatal respiratory distress syndrome
PM8487	severe nerve conduction abnormalities
PM8488	severe neural tube closure defects
PM8489	severe neural tube defects
PM8490	severe neurodevelopmental brain abnormalities
PM8492	severe neurological disease
PM8493	severe neuromuscular disease
PM8494	severe neuronal migration defect
PM8495	severe neuropathic pain
PM8496	severe neuropathy
PM8497	severe neuropathy and peripheral edema
PM8500	severe obesity and adrenal insufficiency
PM8504	severe oesophagitis
PM8505	severe ohss
PM8506	severe oligozoospermia
PM8507	severe oligozoospermia or azoospermia
PM8510	severe ongoing denervation
PM8513	severe osteoarthritis
PM8514	severe osteolysis
PM8515	severe osteolytic disease
PM8516	severe osteopetrosis
PM8517	severe osteoporosis
PM8519	severe p. falciparum malaria
PM8520	severe packaging defect
PM8523	severe paraparesis
PM8524	severe pcp phenotypes
PM8525	severe pelvic asymmetry
PM8526	severe perfusion defect
PM8527	severe peripheral neuropathy
PM8528	severe permanent neutropenia
PM8529	severe persistent or relapsing fatigue
PM8531	severe plant malformation
PM8534	severe polycystic kidney
PM8536	severe postnatal growth retardation
PM8538	severe pre eclampsia
PM8539	severe preeclampsia
PM8540	severe premature aging and cancer
PM8544	severe psoriasis
PM8545	severe psychiatric illness and mental retardation
PM8546	severe psychomotor delay
PM8547	severe psychomotor retardation
PM8548	severe psychosis
PM8549	severe ptosis
PM8550	severe pulmonary arterial hypertension
PM8551	severe pulmonary hypertension
PM8552	severe pulmonary hypoplasia
PM8553	severe pulmonary stenosis
PM8555	severe renal disease
PM8556	severe renal dysfunction
PM8557	severe replication defect
PM8559	severe respiratory burst defects
PM8565	severe rheumatoid arthritis
PM8566	severe right heart abnormalities
PM8568	severe rop
PM8569	severe rpe defects
PM8571	severe seizures
PM8575	severe short stature
PM8576	severe skeletal abnormalities
PM8577	severe sma type
PM8578	severe social withdrawal
PM8581	severe sperm motility defects
PM8585	severe stenosis and increased heart contractility
PM8589	severe suture abnormalities
PM8590	severe symptomatic chronic coronary artery disease
PM8591	severe symptomatic hypercalcemia
PM8594	severe t cell deficiency
PM8595	severe t lymphocyte defects
PM8597	severe teratozoospermia
PM8598	severe thrombocytopenia
PM8602	severe to profound intellectual disability
PM8603	severe transcription and replication defect
PM8604	severe transfusion dependent anemia
PM8609	severe uncontained bone loss
PM8615	severe urogenital abnormalities
PM8620	severe virus production and replication defect
PM8621	severe vision loss
PM8622	severe visual defects
PM8623	severe visual impairment
PM8624	severe vitamin b12 deficiency
PM8626	severe von willebrand disease
PM8628	severe zinc deficiency
PM8629	severely disabling chronic pain
PM8630	severely ill chronic obstructive pulmonary disease patients
PM8631	severely premature aging
PM8632	sex , functional capacity or cognitive impairment
PM8633	sexual behavior , male partner characteristics and sexually transmitted infections
PM8634	sexual risk behavior , multiple sex partners and sexual trauma
PM8635	shallow acetabulum
PM8636	shallow anterior chamber
PM8637	shallow orbits
PM8639	shaped mouth
PM8642	sharp positive waves and fibrillation potentials
PM8652	short axis cine slices
PM8657	short axis phenotype
PM8660	short body length phenotype
PM8668	short digits
PM8674	short limbs
PM8675	short metacarpals
PM8676	short neck
PM8677	short neck and torticollis
PM8678	short nose
PM8683	short palpebral fissures
PM8684	short philtrum
PM8685	short plasma elimination half life
PM8687	short pr interval
PM8688	short qt syndrome
PM8690	short rib polydactyly syndromes
PM8691	short ribs
PM8694	short stature
PM8695	short stature and primary amenorrhea
PM8696	short stature homeobox gene shox
PM8697	short stature sample
PM8698	short steps and frozen gait
PM8699	short sternum
PM8702	short term cyclin d1 overexpression
PM8704	short trunk
PM8707	shrunken gallbladder
PM8708	sickle red blood cells
PM8709	sigmoid carcinoma
PM8710	sigmoid colo colonic intussusception
PM8712	sigmoid colon resection specimen
PM8717	significant abnormal reflex
PM8718	significant chronic pulmonary stenosis
PM8724	significantly higher white blood cell counts
PM8727	similar severe malaria epidemics
PM8728	similar white matter aberrations
PM8730	simple cell degeneration
PM8735	simple defect
PM8736	simple febrile seizure
PM8737	simple growth requirements
PM8739	simple hyperplasia
PM8740	simple maternal vitamin deficiency
PM8743	simple phobia
PM8744	simple renal cyst
PM8747	simple steatosis
PM8750	simple ventricular septal defect
PM8751	simple ventricular septal defect and atrial septal defect
PM8752	simultaneous bilateral breast carcinoma
PM8754	single abnormal psa
PM8759	single out abnormal sperm
PM8760	sinonasal undifferentiated carcinoma
PM8761	sinus venosus defect
PM8764	situs inversus double inlet left ventricle
PM8765	skin , subcutaneous tissue and even lungs
PM8766	sle associated haplotypes and irf5 expression
PM8768	slightly abnormal cholesterol states
PM8769	slightly more severe pneumonia
PM8771	slow background activity
PM8785	slow muscle degeneration
PM8793	slow myosin defect
PM8794	slow neurodegeneration
PM8796	slow onset cystic kidney disease
PM8799	slow progression # 8221
PM8800	slow progressive loss
PM8804	slow release gonadotropin releasing hormone analog
PM8805	slow skeletal troponin t1
PM8810	slow wave sleep and wake immobility
PM8812	small hemorrhagic spot
PM8815	small left ventricle
PM8816	small malformed ear
PM8818	small peripheral nerve
PM8823	smooth cerebral surface
PM8837	smooth muscle differentiation
PM8841	smooth muscle tumour
PM8844	soft cleft palate
PM8846	soft drusen
PM8848	soft palate
PM8849	soft palate defect
PM8854	soft tissue abscess
PM8855	soft tissue abscesses
PM8859	soft tissue balance
PM8864	soft tissue defect infection rates
PM8867	soft tissue fibrosis
PM8868	soft tissue fibrosis and joint contracture
PM8874	soft tissue invasion
PM8880	soft tissue sarcoma
PM8881	soft tissue sarcomas
PM8891	solid aneurysmal bone cyst
PM8899	solid irregular nodules
PM8903	solid organ transplantation
PM8908	solid tumor oncology
PM8911	solid tumors and leukemia
PM8913	solitary and multiple papillary thyroid carcinoma
PM8917	soluble cd4
PM8920	soluble decoy receptor
PM8922	soluble endoglin
PM8924	soluble fibrin
PM8934	soluble klotho level
PM8936	soluble mutant htt
PM8946	soluble tau
PM8948	soluble tnf  # 945 ; receptor 2
PM8952	soluble urokinase type plasminogen activator receptor
PM8953	soluble vascular endothelial growth factor
PM8954	soluble vegf receptors 1 and
PM8955	sometimes abnormal eating behavior
PM8957	sonic hedgehog pathway
PM8959	sonic hedgehog signaling pathway
PM8961	sp c associated lung disease
PM8967	sparse hair
PM8968	sparse thin hair
PM8972	specific pleural fluid white blood cell count
PM8973	spherical aberration and coma
PM8974	spherical aberrations and coma
PM8975	spinal cord white matter
PM8978	spiral cell cleavage patterns
PM8980	split cord malformation
PM8981	split hand
PM8982	split hand foot malformation
PM8983	split hand malformation
PM8984	split hand/foot malformation
PM8985	split hand/split foot malformation
PM8995	sporadic als
PM8996	sporadic als cases
PM8997	sporadic alzheimer's disease
PM8998	sporadic alzheimer's disease and down syndrome
PM8999	sporadic amyotrophic lateral sclerosis
PM9000	sporadic and hereditary breast
PM9001	sporadic and neurofibromatosis type 1 related malignant peripheral nerve sheath tumors
PM9002	sporadic atypical scrapie
PM9003	sporadic basal like breast cancers
PM9004	sporadic breast
PM9005	sporadic breast and ovarian cancer
PM9006	sporadic breast cancer
PM9007	sporadic breast cancer cases
PM9008	sporadic breast cancer patients
PM9009	sporadic breast cancers
PM9010	sporadic breast carcinomas
PM9011	sporadic breast tumors
PM9012	sporadic breast tumour development
PM9014	sporadic cancer
PM9015	sporadic chromophobe and renal oncocytoma
PM9016	sporadic cjd
PM9017	sporadic cjd transmission
PM9018	sporadic clear cell rcc
PM9019	sporadic clear cell rcc43
PM9020	sporadic clear cell renal cell carcinoma
PM9021	sporadic colon cancer
PM9022	sporadic colon tumors
PM9023	sporadic colon tumors and mismatch repair defective human tumor cell lines
PM9024	sporadic colonic adenocarcinomas
PM9025	sporadic colorectal cancer
PM9026	sporadic colorectal cancer patients
PM9027	sporadic crc
PM9028	sporadic crc cases
PM9029	sporadic crc patients
PM9030	sporadic creutzfeldt jakob disease
PM9032	sporadic ductal invasive breast tumors
PM9033	sporadic endometrial cancer
PM9034	sporadic eye movements
PM9035	sporadic fatal insomnia
PM9037	sporadic inclusion body myositis
PM9038	sporadic mammary carcinoma
PM9039	sporadic melanoma tumors
PM9040	sporadic meningiomas
PM9041	sporadic msi h colon cancer and msi h from patients
PM9042	sporadic oncocytoma
PM9043	sporadic oncocytoma and chromophobe rcc
PM9044	sporadic pancreatic cancer
PM9045	sporadic phaeochromocytoma
PM9046	sporadic primary invasive breast carcinoma
PM9047	sporadic rcc
PM9048	sporadic renal cell carcinoma
PM9049	sporadic renal cell carcinomas
PM9050	sporadic renal clear cell cancer
PM9051	sporadic renal oncocytoma
PM9052	sporadic renal tumors
PM9053	sporadic retinoblastoma
PM9054	sporadic schizophrenia
PM9055	sporadic schwannomas
PM9056	sporadic septal heart defects
PM9057	sporadic solitary meningiomas
PM9058	sporadic tdp 43 proteinopathies
PM9059	sporadic tumors
PM9060	sporadic versus hereditary breast cancer
PM9062	squamous or columnar epithelium
PM9064	stable chronic lung and airway diseases
PM9065	stable severe copd
PM9069	staphylococcal tricuspid valve infective endocarditis
PM9073	sterile corneal ulcer
PM9077	steroid associated osteonecrosis
PM9078	steroid resistant focal segmental glomerulosclerosis
PM9084	straight leg raising test
PM9088	stratified brain and kidney
PM9089	stratified cluster sampling and blood
PM9092	stratified pten expression
PM9094	striatal white matter abnormalities
PM9098	striped hemorrhage
PM9102	structurally abnormal x chromosome
PM9103	structurally abnormal x chromosomes
PM9104	structurally abnormal y chromosome
PM9105	structurally normal heart
PM9112	sub cortical white matter signal
PM9114	subacute cutaneous lupus erythematosus
PM9116	subacute thyroiditis
PM9117	subchondral trabecular bone
PM9118	subchondral trabecular bone region
PM9119	subclinical abnormal lung function
PM9120	subcortical and deep white matter
PM9125	subcutaneous fat atrophy
PM9126	subcutaneous fat atrophy and fibrosis
PM9127	subcutaneous neurofibromas
PM9132	subcutaneous vascular malformation
PM9133	subependymal giant cell astrocytomas
PM9134	subsequent abnormal eye formation
PM9136	subsequent focal brain lesion
PM9139	subtle white matter changes
PM9150	sun damaged skin
PM9151	superficial bcs
PM9152	superficial central corneal stroma
PM9153	superficial cornea
PM9154	superficial corneal stroma
PM9158	superficial ecchymoses
PM9162	superficial fibromatosis
PM9165	superficial lymphadenopathy
PM9169	superficial peroneal nerve
PM9170	superficial peroneal sensory nerve
PM9171	superficial punctuate keratopathy
PM9173	superficial stroma
PM9174	superficial tcc
PM9175	superficial temporal artery
PM9176	superficial temporal artery and vein
PM9178	superficial zone protein
PM9180	superior temporal gyrus
PM9182	supernumerary digits
PM9184	supernumerary nipples
PM9185	supernumerary ribs
PM9186	supernumerary teeth
PM9189	suppurative interstitial nephritis
PM9190	suppurative lung disease
PM9191	suppurative otitis media
PM9195	surrounding bone marrow necrosis
PM9196	surrounding brain
PM9197	surrounding brain parenchyma
PM9198	surrounding brain tissue
PM9199	surrounding breast tissue
PM9201	surrounding cartilage rim
PM9206	surrounding liver
PM9207	surrounding liver parenchyma
PM9210	surrounding mucosa
PM9213	surrounding nervous tissue
PM9214	surrounding normal bone
PM9215	surrounding normal breast tissue
PM9224	susceptible cell types
PM9227	suspected severe malnutrition
PM9229	swollen arm
PM9231	swollen joint
PM9232	swollen joint count
PM9233	swollen joints
PM9234	swollen vessel lumina
PM9235	symmetric proximal muscle weakness
PM9237	symmetrical growth retardation
PM9238	symmetrical mandibular prognathism
PM9239	symptomatic female dmd carriers
PM9240	symptomatic multiple myeloma
PM9241	synaptonemal complex protein
PM9243	synchronous liver metastases
PM9244	synchronous liver metastasis
PM9246	systemic anaplastic large cell lymphoma
PM9252	systemic juvenile idiopathic arthritis
PM9253	systemic vasculitis
PM9254	t3 active hormone
PM9258	tdc papillary carcinoma
PM9259	tdlu = terminal duct lobular unit
PM9261	temperature sensitive folding and processing defect
PM9271	temporal artery flow abnormalities
PM9272	temporal artery tenderness
PM9273	temporal association cortex
PM9276	temporal bone abnormalities
PM9277	temporal bone computed tomography
PM9278	temporal bone ct
PM9281	temporal frontal scalp flap
PM9283	temporal lobe abnormalities
PM9286	temporal lobe epilepsy
PM9288	temporal lobe involvement
PM9290	temporal lobe seizure
PM9291	temporal malaria trends
PM9296	temporal region eeg abnormality
PM9297	tenosynovial giant cell tumors
PM9300	term congenital cystic eye
PM9301	term hiv associated adipose redistribution syndrome
PM9302	term undifferentiated connective tissue disease
PM9306	terminal chondrocyte differentiation and osteoarthritis
PM9310	terminal differentiation and ongoing cell proliferation
PM9311	terminal duct lobular unit
PM9312	terminal end bud formation
PM9313	terminal end buds
PM9319	terminal internal carotid artery
PM9320	terminal internal carotid artery and/or the proximal middle cerebral artery
PM9323	terminal phalanges
PM9326	terminal siv induced immunodeficiency
PM9332	the other 50 # 8211 ; 74 years old breast cancer patients
PM9333	therapy related acute lymphoblastic leukemia
PM9334	therapy related acute myeloid leukemia
PM9336	thickened actin fibres
PM9337	thickened airway epithelium
PM9339	thickened descemet's membrane
PM9340	thickened endoderm
PM9341	thickened epidermis
PM9342	thickened filum terminale
PM9343	thickened heart muscle
PM9344	thickened lips
PM9345	thickened lower lip
PM9351	thinner than normal cornea
PM9353	third instar larval brain and imaginal discs
PM9354	thrombocytopenic multiple organ failure
PM9357	tight glucose control
PM9358	tight junction protein claudin 2
PM9363	tip associated apc
PM9371	trabecular meshwork and cause glaucoma
PM9372	traditional serrated adenomas
PM9373	trafficking defective long qt syndrome type
PM9375	transcriptional inactive mutated p53
PM9387	transient abnormal myelopoiesis
PM9388	transient akinesia
PM9392	transient blurred vision
PM9395	transient erk activations
PM9396	transient focal cerebral ischemia
PM9397	transient group
PM9399	transient hyperammonemia
PM9400	transient hyperkalemia
PM9401	transient hypothyroidism
PM9404	transient ischemic attack patients
PM9407	transient left ventricular apical ballooning syndrome
PM9409	transient lytic gene expression
PM9410	transient myeloproliferative disorder
PM9411	transient neonatal diabetes
PM9412	transient neonatal hypoglycemia
PM9413	transient patent foramen ovale
PM9414	transient platelet function defect
PM9417	transient stem cell like properties
PM9418	transient systolic dysfunction
PM9421	translucent skin
PM9422	transmural necrosis
PM9424	transmural stress perfusion defect
PM9427	trauma peripheral nerve
PM9429	treatment emergent abnormal ecg
PM9430	treatment resistant depression
PM9431	treatment resistant schizophrenia
PM9432	triangular face
PM9433	triangular mouth
PM9434	triangular shaped face
PM9435	tricuspid aortic valve
PM9436	tricuspid atresia
PM9440	tricuspid valve leaflets
PM9441	tricuspid valve regurgitation 15 mmhg
PM9442	tripartite motif protein 5 #
PM9443	triploidy
PM9445	trivalent inactivated split virus influenza n
PM9446	tropical spastic paraparesis/htlv 1 associated myelopathy
PM9447	true balanced chromosome abnormalities
PM9448	true normal colonic mucosa
PM9451	tubular atrophy
PM9452	tubular basement membrane constituents
PM9453	tubular bone modeling
PM9454	tubular carcinoma
PM9455	tubular cell proliferation
PM9458	tubular epithelium lining
PM9462	tubular proteinuria
PM9466	tumor associated autoantibodies
PM9470	tumour surrounding breast tissue type
PM9471	twist1 associated tumor angiogenesis
PM9472	two abnormal reflexes
PM9473	two or more abnormal plasma glucose tests
PM9474	type 2 long qt
PM9477	typical and atypical chronic inflammatory polyneuropathy
PM9479	typical hyperplastic nodules
PM9481	typical superficial spreading melanoma
PM9482	tyrosine phosphorylated egfr
PM9485	unbalanced chromosome 1 abnormalities
PM9486	unbalanced chromosome aberrations
PM9490	unbalanced immune response
PM9492	uncontrolled dendritic cell function
PM9494	uncoordinated movement defects
PM9498	undifferentiated arthritis
PM9499	undifferentiated arthritis category
PM9502	undifferentiated connective tissue disease
PM9508	undifferentiated nasopharyngeal carcinoma
PM9511	undifferentiated spondyloarthritis group
PM9514	unexplained acute pancreatitis
PM9515	unexplained chronic fatigue
PM9516	unexplained diffuse lung disease
PM9517	unexplained severe mental retardation
PM9527	unilateral anterior cruciate ligament reconstruction
PM9528	unilateral blindness
PM9530	unilateral dpt
PM9531	unilateral extremity weakness
PM9532	unilateral hematuria
PM9533	unilateral hindlimb paralysis
PM9534	unilateral hydrocephalus
PM9536	unilateral knee osteoarthritis
PM9537	unilateral movement
PM9538	unilateral renal agenesis
PM9539	unilateral retinal vascular abnormalities
PM9540	unilateral right sided cleft lip
PM9541	unilateral right sided cleft lip and cleft palate
PM9543	uniparental disomy
PM9546	unrecognized diffuse large b cell lymphoma
PM9548	unsaturated fatty acids
PM9550	unselected sporadic colorectal cancer patients
PM9555	unusual acute peripheral neuropathy
PM9556	unusual and widespread white matter lesions
PM9557	unusual bilateral basal ganglia involvement
PM9558	unusual bilateral cervical paraganglioma
PM9560	unusual clear cell subtypes
PM9561	unusual clear cell tumors
PM9562	unusual clear cell tumours
PM9573	unusual pathological finding
PM9574	unusual peripheral paresis
PM9579	unusual t cell childhood acute lymphoblastic leukemia
PM9580	unusual unilateral ptosis
PM9583	unusually long # 945 ;  l16 helix
PM9589	unusually severe phenotype
PM9597	upturned philtrum
PM9601	vacuolated neurons
PM9604	variable cardiac anomalies
PM9613	variable expressivity
PM9614	variable eye
PM9615	variable eye defects
PM9620	variable immunodeficiency
PM9622	variable irrelevant position
PM9628	variably severe phenotype
PM9629	variant and diabetic nephropathy
PM9631	variant cjd
PM9632	variant creutzfeldt jakob disease
PM9633	variant factor ix protein
PM9638	variegated aneuploidy
PM9644	vascular smooth muscle cell phenotypic diversity
PM9650	ventricular premature complex : vpc
PM9651	ventricular white matter volume
PM9660	vertical malaria control programme
PM9661	vertical or transverse rectus abdominis flap
PM9666	very long chain acyl coa dehydrogenase
PM9667	very low density lipoprotein
PM9668	very low density lipoprotein cholesterol
PM9669	very low density lipoprotein low density lipoprotein
PM9670	very low density lipoprotein/low density lipoprotein
PM9671	very rare type soft tissue sarcoma
PM9673	very recent onset rheumatoid arthritis
PM9678	very slow progression
PM9695	virion associated lipid rafts
PM9697	virus associated gp120 and gp41 glycoprotein
PM9698	virus induced chronic inflammatory necrosis
PM9699	virus induced chronic inflammatory necrosis and hepatocyte necrosis
PM9700	vitamin k dependent inactive enzyme precursor
PM9701	volume overload right ventricular hypertrophy
PM9703	water soluble b vitamin
PM9713	weather associated syndrome
PM9714	webbed short neck
PM9715	wedge shaped vertebrae
PM9718	wet amd
PM9720	whey acidic protein
PM9730	white blood cells/
PM9735	white coat hypertension
PM9740	white lung
PM9741	white matter
PM9742	white matter abnormalities
PM9743	white matter alterations
PM9745	white matter anisotropy
PM9746	white matter areas
PM9747	white matter changes
PM9748	white matter damage
PM9749	white matter deficits
PM9750	white matter development
PM9751	white matter fibers
PM9753	white matter hyperintensities
PM9754	white matter hyperintensities and global cortical atrophy
PM9755	white matter injury
PM9756	white matter lesions
PM9757	white matter myelin deficits
PM9758	white matter pathways
PM9759	white matter region
PM9760	white matter signal abnormalities
PM9761	white matter structures
PM9762	white matter tracts
PM9763	white matter volume
PM9771	white substance signal abnormalities
PM9775	xrcc1 arg280his variant protein
PM9785	young age onset breast cancer
PM9787	young bovine articular cartilage
PM9788	young breast cancer patients
PM9789	young cancer patients
